"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-06","178","Master Contract","0923-08-042","0923-08-042","No (Single CSJ)","1",,"Coleman",,,,"2544721.05"
"2026-06","179","Master Contract","6498-52-001","6498-52-001","No (Single CSJ)","1",,"Harris",,,,"742281.11"
"2026-06","180","Master Contract","0683-02-086","0683-02-086","Yes (2 Sub-CSJs)","2",,"Travis",,,,"4469625.43"
"2026-06","181","Master Contract","6495-88-001","6495-88-001","No (Single CSJ)","1",,"Cameron",,,,"295433.5"
"2026-06","182","Master Contract","0914-04-358","0914-04-358","No (Single CSJ)","1",,"Travis",,,,"250954"
"2026-06","183","Master Contract","6476-11-001","6476-11-001","No (Single CSJ)","1",,"Harris",,,,"17617900"
"2026-06","184","Master Contract","6495-87-001","6495-87-001","No (Single CSJ)","1",,"Cameron",,,,"657203.8"
"2026-06","185","Master Contract","6502-35-001","6502-35-001","No (Single CSJ)","1",,"Burleson",,,,"225600"
"2026-06","186","Master Contract","6499-79-001","6499-79-001","No (Single CSJ)","1",,"Wise",,,,"5882581"
"2026-06","187","Master Contract","6499-30-001","6499-30-001","No (Single CSJ)","1",,"Hidalgo",,,,"860702.6"
"2026-06","188","Master Contract","6501-09-001","6501-09-001","No (Single CSJ)","1",,"Wheeler",,,,"1000000"
