"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-07",,"Sub-CSJ Project","0909-40-079","0909-37-082","Sub-CSJ of 0909-40-079","Sub-CSJ #2",,"Limestone",,,,".00"
"2026-07",,"Sub-CSJ Project","0909-40-079","0909-40-094","Sub-CSJ of 0909-40-079","Sub-CSJ #3",,"Limestone",,,,".00"
"2026-07",,"Sub-CSJ Project","0909-40-079","0909-40-095","Sub-CSJ of 0909-40-079","Sub-CSJ #4",,"Limestone",,,,".00"
"2026-07",,"Sub-CSJ Project","0909-40-079","0909-40-090","Sub-CSJ of 0909-40-079","Sub-CSJ #5",,"Limestone",,,,".00"
"2026-07","91","Master Contract","6501-13-001","6501-13-001","No (Single CSJ)","1",,"Hardeman",,,,"829440"
"2026-07","92","Master Contract","6492-28-001","6492-28-001","No (Single CSJ)","1",,"Palo Pinto",,,,"2032014.95"
"2026-07","93","Master Contract","0199-01-090","0199-01-090","Yes (2 Sub-CSJs)","2",,"Cherokee",,,,"1304447.86"
"2026-07",,"Sub-CSJ Project","0199-01-090","0199-01-091","Sub-CSJ of 0199-01-090","Sub-CSJ #2",,"Cherokee",,,,".00"
"2026-07","94","Master Contract","0712-01-052","0712-01-052","Yes (2 Sub-CSJs)","2",,"Johnson",,,,"3629090.57"
"2026-07",,"Sub-CSJ Project","0712-01-052","0712-02-021","Sub-CSJ of 0712-01-052","Sub-CSJ #2",,"Johnson",,,,".00"
"2026-07","95","Master Contract","0625-01-001","0625-01-001","No (Single CSJ)","1",,"Limestone",,,,"2150632.74"
"2026-07","96","Master Contract","0520-09-057","0520-09-057","Yes (3 Sub-CSJs)","3",,"Anderson",,,,"200280.5"
"2026-07",,"Sub-CSJ Project","0520-09-057","0910-07-103","Sub-CSJ of 0520-09-057","Sub-CSJ #2",,"Anderson",,,,".00"
"2026-07",,"Sub-CSJ Project","0520-09-057","0919-02-043","Sub-CSJ of 0520-09-057","Sub-CSJ #3",,"Anderson",,,,".00"
"2026-07","97","Master Contract","6501-12-001","6501-12-001","No (Single CSJ)","1",,"Dickens",,,,"894960"
"2026-07","98","Master Contract","6502-02-001","6502-02-001","No (Single CSJ)","1",,"Palo Pinto",,,,"1707467"
"2026-07","99","Master Contract","0718-02-079","0718-02-079","No (Single CSJ)","1",,"Tarrant",,,,"318033.5"
"2026-07","100","Master Contract","0117-01-062","0117-01-062","Yes (14 Sub-CSJs)","14",,"Brazos",,,,"1061224.06"
"2026-07",,"Sub-CSJ Project","0117-01-062","2851-01-055","Sub-CSJ of 0117-01-062","Sub-CSJ #2",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","2446-01-037","Sub-CSJ of 0117-01-062","Sub-CSJ #3",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","0117-09-006","Sub-CSJ of 0117-01-062","Sub-CSJ #4",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","2130-01-014","Sub-CSJ of 0117-01-062","Sub-CSJ #5",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","0315-03-073","Sub-CSJ of 0117-01-062","Sub-CSJ #6",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","0315-02-061","Sub-CSJ of 0117-01-062","Sub-CSJ #7",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","1562-03-022","Sub-CSJ of 0117-01-062","Sub-CSJ #8",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","1562-04-016","Sub-CSJ of 0117-01-062","Sub-CSJ #9",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","1809-01-023","Sub-CSJ of 0117-01-062","Sub-CSJ #10",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","0205-01-053","Sub-CSJ of 0117-01-062","Sub-CSJ #11",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","0205-02-078","Sub-CSJ of 0117-01-062","Sub-CSJ #12",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","0204-09-067","Sub-CSJ of 0117-01-062","Sub-CSJ #13",,"Brazos",,,,".00"
"2026-07",,"Sub-CSJ Project","0117-01-062","0262-06-036","Sub-CSJ of 0117-01-062","Sub-CSJ #14",,"Brazos",,,,".00"
"2026-07","101","Master Contract","0019-01-153","0019-01-153","Yes (2 Sub-CSJs)","2",,"Johnson",,,,"2135136.14"
"2026-07",,"Sub-CSJ Project","0019-01-153","0259-05-086","Sub-CSJ of 0019-01-153","Sub-CSJ #2",,"Johnson",,,,".00"
"2026-07","102","Master Contract","0902-90-394","0902-90-394","No (Single CSJ)","1",,"Tarrant",,,,"10878097.3"
"2026-07","103","Master Contract","0005-04-084","0005-04-084","No (Single CSJ)","1",,"Martin",,,,"5911334.34"
"2026-07","104","Master Contract","0213-03-112","0213-03-112","No (Single CSJ)","1",,"Polk",,,,"3332948"
"2026-07","105","Master Contract","2977-01-011","2977-01-011","No (Single CSJ)","1",,"Collin",,,,"12398052.11"
"2026-07","106","Master Contract","0915-12-782","0915-12-782","Yes (4 Sub-CSJs)","4",,"Bexar",,,,"1495172.83"
"2026-07",,"Sub-CSJ Project","0915-12-782","0915-12-786","Sub-CSJ of 0915-12-782","Sub-CSJ #2",,"Bexar",,,,".00"
"2026-07",,"Sub-CSJ Project","0915-12-782","0915-12-784","Sub-CSJ of 0915-12-782","Sub-CSJ #3",,"Bexar",,,,".00"
"2026-07",,"Sub-CSJ Project","0915-12-782","0915-12-796","Sub-CSJ of 0915-12-782","Sub-CSJ #4",,"Bexar",,,,".00"
"2026-07","107","Master Contract","0016-05-128","0016-05-128","No (Single CSJ)","1",,"Comal",,,,"14509411.7"
"2026-07","108","Master Contract","1194-02-020","1194-02-020","No (Single CSJ)","1",,"Hardin",,,,"5913739.66"
"2026-07","109","Master Contract","0916-00-253","0916-00-253","No (Single CSJ)","1",,"Nueces",,,,"719490.75"
"2026-07","110","Master Contract","6501-11-001","6501-11-001","No (Single CSJ)","1",,"Donley",,,,"997344"
"2026-07","111","Master Contract","0265-03-054","0265-03-054","No (Single CSJ)","1",,"Bastrop",,,,"745820.25"
"2026-07","112","Master Contract","0028-04-084","0028-04-084","No (Single CSJ)","1",,"Liberty",,,,"2109576.76"
"2026-07","113","Master Contract","3089-01-013","3089-01-013","No (Single CSJ)","1",,"Kaufman",,,,"726590"
