"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-09","17","Master Contract","6499-29-001","6499-29-001","No (Single CSJ)","1",,"Eastland",,,,"193258.05"
"2026-09","18","Master Contract","6498-39-001","6498-39-001","No (Single CSJ)","1",,"Henderson",,,,"145344.4"
"2026-09","19","Master Contract","0600-01-013","0600-01-013","Yes (9 Sub-CSJs)","9",,"Ward",,,,"6046052.12"
"2026-09",,"Sub-CSJ Project","0600-01-013","0600-02-015","Sub-CSJ of 0600-01-013","Sub-CSJ #2",,"Ward",,,,".00"
"2026-09",,"Sub-CSJ Project","0600-01-013","0866-07-016","Sub-CSJ of 0600-01-013","Sub-CSJ #3",,"Ward",,,,".00"
"2026-09",,"Sub-CSJ Project","0600-01-013","2905-01-015","Sub-CSJ of 0600-01-013","Sub-CSJ #4",,"Ward",,,,".00"
"2026-09",,"Sub-CSJ Project","0600-01-013","2262-03-018","Sub-CSJ of 0600-01-013","Sub-CSJ #5",,"Ward",,,,".00"
"2026-09",,"Sub-CSJ Project","0600-01-013","1639-01-019","Sub-CSJ of 0600-01-013","Sub-CSJ #6",,"Ward",,,,".00"
"2026-09",,"Sub-CSJ Project","0600-01-013","0695-01-019","Sub-CSJ of 0600-01-013","Sub-CSJ #7",,"Ward",,,,".00"
"2026-09",,"Sub-CSJ Project","0600-01-013","2384-01-011","Sub-CSJ of 0600-01-013","Sub-CSJ #8",,"Ward",,,,".00"
"2026-09",,"Sub-CSJ Project","0600-01-013","2262-01-022","Sub-CSJ of 0600-01-013","Sub-CSJ #9",,"Ward",,,,".00"
"2026-09","20","Master Contract","6506-58-001","6506-58-001","No (Single CSJ)","1",,"Tarrant",,,,"153302.71"
"2026-09","21","Master Contract","0086-07-038","0086-07-038","Yes (12 Sub-CSJs)","12",,"Jim Hogg",,,,"4069627.26"
"2026-09",,"Sub-CSJ Project","0086-07-038","0696-03-018","Sub-CSJ of 0086-07-038","Sub-CSJ #2",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","0696-03-017","Sub-CSJ of 0086-07-038","Sub-CSJ #3",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","1801-01-065","Sub-CSJ of 0086-07-038","Sub-CSJ #4",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","0864-01-082","Sub-CSJ of 0086-07-038","Sub-CSJ #5",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","0669-01-068","Sub-CSJ of 0086-07-038","Sub-CSJ #6",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","2966-01-017","Sub-CSJ of 0086-07-038","Sub-CSJ #7",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","2094-01-075","Sub-CSJ of 0086-07-038","Sub-CSJ #8",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","1228-01-014","Sub-CSJ of 0086-07-038","Sub-CSJ #9",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","0698-01-018","Sub-CSJ of 0086-07-038","Sub-CSJ #10",,"Jim Hogg",,,,".00"
