Record Type,Master CSJ,Project CSJ,Is Sub CSJ,Let Date,County,Highway,District,Project Type,Estimate ($),Sub CSJ Count
Master Contract,6507-77-001,6507-77-001,No (Parent),,Ector,,,,458400,0
Master Contract,6496-87-001,6496-87-001,No (Parent),,Dallas,,,,399840,0
Master Contract,6492-74-001,6492-74-001,No (Parent),,Taylor,,,,937100,0
Master Contract,0913-09-134,0913-09-134,No (Parent),,Wharton,,,,2343467.75,0
Master Contract,6503-35-001,6503-35-001,No (Parent),,Dallas,,,,270375,0
Master Contract,0228-05-072,0228-05-072,No (Parent),,Andrews,,,,18619756.05,0
Master Contract,6509-65-001,6509-65-001,No (Parent),,Lubbock,,,,180500,0
Master Contract,6502-06-001,6502-06-001,No (Parent),,Navarro,,,,70000,0
Master Contract,6503-05-001,6503-05-001,No (Parent),,Collin,,,,907550,0
Master Contract,6506-19-001,6506-19-001,No (Parent),,Brewster,,,,232925,0
Master Contract,6508-35-001,6508-35-001,No (Parent),,San Saba,,,,96120,0
Master Contract,6500-62-001,6500-62-001,No (Parent),,Comanche,,,,984194.9,0
Master Contract,6502-08-001,6502-08-001,No (Parent),,Kaufman,,,,425075,0
Master Contract,6510-24-001,6510-24-001,No (Parent),,Crosby,,,,689620,0
Master Contract,6500-50-001,6500-50-001,No (Parent),,Ellis,,,,1612410.27,0
Master Contract,6509-97-001,6509-97-001,No (Parent),,Caldwell,,,,200000,0
Master Contract,6505-02-001,6505-02-001,No (Parent),,Hopkins,,,,130930,0
Master Contract,0902-00-368,0902-00-368,No (Parent),,Parker,,,,4975541.1,0
Master Contract,0917-31-036,0917-31-036,No (Parent),,Madison,,,,1040840.1,0
Master Contract,0276-04-033,0276-04-033,No (Parent),,Zavala,,,,8562314.29,0
Master Contract,6501-04-001,6501-04-001,No (Parent),,Kimble,,,,533850,0
Master Contract,6506-99-001,6506-99-001,No (Parent),,Washington,,,,88800,0
Master Contract,6506-01-001,6506-01-001,No (Parent),,Hudspeth,,,,59670,0
Master Contract,6502-14-001,6502-14-001,No (Parent),,Denton,,,,156060,0
Master Contract,6506-63-001,6506-63-001,No (Parent),,Scurry,,,,67939,0
Master Contract,0039-10-095,0039-10-095,No (Parent),,Cameron,,,,4670785.3,0
Master Contract,6508-87-001,6508-87-001,No (Parent),,Tarrant,,,,88170,0
Master Contract,6499-28-001,6499-28-001,No (Parent),,Williamson,,,,965582.5,0
Master Contract,6506-62-001,6506-62-001,No (Parent),,Callahan,,,,90550,0
Master Contract,6498-35-001,6498-35-001,No (Parent),,Collin,,,,71867,0
Master Contract,6506-37-001,6506-37-001,No (Parent),,Orange,,,,217790,0
Master Contract,0185-01-046,0185-01-046,No (Parent),,Bell,,,,4616515.51,0
Master Contract,6509-24-001,6509-24-001,No (Parent),,Haskell,,,,2570698.5,0
Master Contract,2121-02-166,2121-02-166,No (Parent),,El Paso,,,,0,0
Master Contract,6504-69-001,6504-69-001,No (Parent),,Wood,,,,967500,0
Master Contract,0050-09-099,0050-09-099,No (Parent),,Harris,,,,4823008.54,0
Master Contract,6508-21-001,6508-21-001,No (Parent),,Comanche,,,,437112,0
Master Contract,6507-73-001,6507-73-001,No (Parent),,Ector,,,,25000,0
Master Contract,6500-89-001,6500-89-001,No (Parent),,Lavaca,,,,275604,0
Master Contract,0337-03-020,0337-03-020,No (Parent),,Williamson,,,,2537276.2,0
Master Contract,6498-20-001,6498-20-001,No (Parent),,Travis,,,,908690.5,0
Master Contract,6503-98-001,6503-98-001,No (Parent),,Hunt,,,,348800,0
Master Contract,6507-74-001,6507-74-001,No (Parent),,Midland,,,,25000,0
Master Contract,6504-66-001,6504-66-001,No (Parent),,Navarro,,,,1,0
Master Contract,6506-24-001,6506-24-001,No (Parent),,La Salle,,,,1268533.2,0
Master Contract,0056-02-034,0056-02-034,No (Parent),,Limestone,,,,8515419.89,0
Master Contract,6504-86-001,6504-86-001,No (Parent),,Tom Green,,,,87120,0
Master Contract,2266-02-169,2266-02-169,No (Parent),,Tarrant,,,,5198453.23,0
Master Contract,6496-52-001,6496-52-001,No (Parent),,Blanco,,,,2782000,0
Master Contract,6502-44-001,6502-44-001,No (Parent),,Kaufman,,,,93820,0
Master Contract,6507-16-001,6507-16-001,No (Parent),,Washington,,,,168000,0
Master Contract,6508-40-001,6508-40-001,No (Parent),,Tom Green,,,,373411,0
Master Contract,6494-48-001,6494-48-001,No (Parent),,De Witt,,,,522000,0
Master Contract,6509-23-001,6509-23-001,No (Parent),,Refugio,,,,298000,0
Master Contract,6507-29-001,6507-29-001,No (Parent),,Polk,,,,352650,0
Master Contract,6509-60-001,6509-60-001,No (Parent),,Eastland,,,,475384,0
Master Contract,6500-36-001,6500-36-001,No (Parent),,Waller,,,,218566.1,0
Master Contract,3632-01-002,3632-01-002,No (Parent),,Starr,,,,60647815.45,0
Master Contract,6508-59-001,6508-59-001,No (Parent),,Kimble,,,,428413.75,0
Master Contract,0187-05-068,0187-05-068,No (Parent),,Fort Bend,,,,2028830.34,0
Master Contract,6504-32-001,6504-32-001,No (Parent),,Collin,,,,112500,0
