Master Index,Record Type,Master (Parent) CSJ,Individual Project CSJ,Has Multi-CSJs?,Sub-CSJ Count,Let Date,County,Highway,District,Project Type,Estimate ($)
103,Master Contract,6508-03-001,6508-03-001,No (Single CSJ),1,,Panola,,,,651828.02
104,Master Contract,0110-06-151,0110-06-151,Yes (2 Sub-CSJs),2,,Harris,,,,1284248.1
105,Master Contract,6501-05-001,6501-05-001,No (Single CSJ),1,,Tom Green,,,,1329347
106,Master Contract,0068-05-039,0068-05-039,No (Single CSJ),1,,Dawson,,,,4420417.03
107,Master Contract,6503-98-001,6503-98-001,No (Single CSJ),1,,Hunt,,,,348800
108,Master Contract,6507-75-001,6507-75-001,No (Single CSJ),1,,Pecos,,,,30000
109,Master Contract,6484-49-001,6484-49-001,No (Single CSJ),1,,Travis,,,,778586.96
110,Master Contract,0903-28-073,0903-28-073,Yes (4 Sub-CSJs),4,,Montague,,,,3059363.99
111,Master Contract,0573-02-008,0573-02-008,No (Single CSJ),1,,Caldwell,,,,5431676.47
112,Master Contract,6501-34-001,6501-34-001,No (Single CSJ),1,,Ellis,,,,474779
113,Master Contract,0976-03-120,0976-03-120,Yes (2 Sub-CSJs),2,,Galveston,,,,474314.6
114,Master Contract,6506-25-001,6506-25-001,No (Single CSJ),1,,Duval,,,,186870
115,Master Contract,6503-34-001,6503-34-001,No (Single CSJ),1,,Dallas,,,,381100
116,Master Contract,6500-50-001,6500-50-001,No (Single CSJ),1,,Ellis,,,,1612410.27
117,Master Contract,6509-94-001,6509-94-001,No (Single CSJ),1,,Ward,,,,220000
118,Master Contract,6499-77-001,6499-77-001,No (Single CSJ),1,,Nueces,,,,175607.5
119,Master Contract,6501-92-001,6501-92-001,No (Single CSJ),1,,Denton,,,,215570
120,Master Contract,0173-04-063,0173-04-063,No (Single CSJ),1,,Kaufman,,,,949220.25
121,Master Contract,6508-96-001,6508-96-001,No (Single CSJ),1,,Hopkins,,,,197610.4
122,Master Contract,6507-78-001,6507-78-001,No (Single CSJ),1,,Midland,,,,528050
123,Master Contract,6504-85-001,6504-85-001,No (Single CSJ),1,,Reagan,,,,216000
124,Master Contract,6500-91-001,6500-91-001,No (Single CSJ),1,,Fayette,,,,1182215.39
125,Master Contract,6497-17-001,6497-17-001,No (Single CSJ),1,,Cameron,,,,521286
126,Master Contract,6502-03-001,6502-03-001,No (Single CSJ),1,,Palo Pinto,,,,1204220
127,Master Contract,6499-40-001,6499-40-001,No (Single CSJ),1,,Crane,,,,298020
128,Master Contract,0101-01-070,0101-01-070,Yes (2 Sub-CSJs),2,,Bee,,,,1470996.52
129,Master Contract,6507-77-001,6507-77-001,No (Single CSJ),1,,Ector,,,,458400
130,Master Contract,6496-87-001,6496-87-001,No (Single CSJ),1,,Dallas,,,,399840
131,Master Contract,6492-74-001,6492-74-001,No (Single CSJ),1,,Taylor,,,,937100
132,Master Contract,0913-09-134,0913-09-134,Yes (3 Sub-CSJs),3,,Wharton,,,,2343467.75
133,Master Contract,6503-35-001,6503-35-001,No (Single CSJ),1,,Dallas,,,,270375
134,Master Contract,0228-05-072,0228-05-072,Yes (10 Sub-CSJs),10,,Andrews,,,,18619756.05
135,Master Contract,6509-65-001,6509-65-001,No (Single CSJ),1,,Lubbock,,,,180500
136,Master Contract,6502-06-001,6502-06-001,No (Single CSJ),1,,Navarro,,,,70000
137,Master Contract,6503-05-001,6503-05-001,No (Single CSJ),1,,Collin,,,,907550
138,Master Contract,6506-19-001,6506-19-001,No (Single CSJ),1,,Brewster,,,,232925
139,Master Contract,6508-35-001,6508-35-001,No (Single CSJ),1,,San Saba,,,,96120
140,Master Contract,6500-62-001,6500-62-001,No (Single CSJ),1,,Comanche,,,,984194.9
141,Master Contract,6502-08-001,6502-08-001,No (Single CSJ),1,,Kaufman,,,,425075
142,Master Contract,6510-24-001,6510-24-001,No (Single CSJ),1,,Crosby,,,,689620
143,Master Contract,1479-01-028,1479-01-028,Yes (2 Sub-CSJs),2,,Bexar,,,,4058576.49
144,Master Contract,0276-04-033,0276-04-033,Yes (12 Sub-CSJs),12,,Zavala,,,,8562314.29
145,Master Contract,6508-57-001,6508-57-001,No (Single CSJ),1,,Tom Green,,,,308175
146,Master Contract,0902-00-368,0902-00-368,No (Single CSJ),1,,Parker,,,,4975541.1
147,Master Contract,0917-31-036,0917-31-036,Yes (2 Sub-CSJs),2,,Madison,,,,1040840.1
148,Master Contract,6502-14-001,6502-14-001,No (Single CSJ),1,,Denton,,,,156060
149,Master Contract,6506-99-001,6506-99-001,No (Single CSJ),1,,Washington,,,,88800
150,Master Contract,6507-73-001,6507-73-001,No (Single CSJ),1,,Ector,,,,25000
151,Master Contract,6501-04-001,6501-04-001,No (Single CSJ),1,,Kimble,,,,533850
152,Master Contract,6506-63-001,6506-63-001,No (Single CSJ),1,,Scurry,,,,67939
153,Master Contract,6506-01-001,6506-01-001,No (Single CSJ),1,,Hudspeth,,,,59670
154,Master Contract,0039-10-095,0039-10-095,Yes (11 Sub-CSJs),11,,Cameron,,,,4670785.3
155,Master Contract,6499-28-001,6499-28-001,No (Single CSJ),1,,Williamson,,,,965582.5
156,Master Contract,0185-01-046,0185-01-046,Yes (16 Sub-CSJs),16,,Bell,,,,4616515.51
157,Master Contract,6508-87-001,6508-87-001,No (Single CSJ),1,,Tarrant,,,,88170
158,Master Contract,6506-37-001,6506-37-001,No (Single CSJ),1,,Orange,,,,217790
159,Master Contract,6506-62-001,6506-62-001,No (Single CSJ),1,,Callahan,,,,90550
160,Master Contract,0050-09-099,0050-09-099,Yes (4 Sub-CSJs),4,,Harris,,,,4823008.54
161,Master Contract,6509-24-001,6509-24-001,No (Single CSJ),1,,Haskell,,,,2570698.5
162,Master Contract,6509-97-001,6509-97-001,No (Single CSJ),1,,Caldwell,,,,247838.6
163,Master Contract,6504-69-001,6504-69-001,No (Single CSJ),1,,Wood,,,,967500
164,Master Contract,6508-21-001,6508-21-001,No (Single CSJ),1,,Comanche,,,,437112
165,Master Contract,6508-32-001,6508-32-001,No (Single CSJ),1,,Delta,,,,21000
166,Master Contract,6509-23-001,6509-23-001,No (Single CSJ),1,,Refugio,,,,298000
167,Master Contract,6500-89-001,6500-89-001,No (Single CSJ),1,,Lavaca,,,,275604
168,Master Contract,0337-03-020,0337-03-020,No (Single CSJ),1,,Williamson,,,,2537276.2
169,Master Contract,6498-20-001,6498-20-001,No (Single CSJ),1,,Travis,,,,908690.5
170,Master Contract,2121-02-166,2121-02-166,No (Single CSJ),1,,El Paso,,,,0
171,Master Contract,6507-74-001,6507-74-001,No (Single CSJ),1,,Midland,,,,25000
172,Master Contract,6504-66-001,6504-66-001,No (Single CSJ),1,,Navarro,,,,1
173,Master Contract,0056-02-034,0056-02-034,Yes (8 Sub-CSJs),8,,Limestone,,,,8515419.89
174,Master Contract,0865-01-118,0865-01-118,Yes (2 Sub-CSJs),2,,Hidalgo,,,,631956.66
175,Master Contract,6506-24-001,6506-24-001,No (Single CSJ),1,,La Salle,,,,1268533.2
176,Master Contract,2266-02-169,2266-02-169,No (Single CSJ),1,,Tarrant,,,,5198453.23
177,Master Contract,6504-86-001,6504-86-001,No (Single CSJ),1,,Tom Green,,,,87120
178,Master Contract,6502-44-001,6502-44-001,No (Single CSJ),1,,Kaufman,,,,93820
179,Master Contract,6507-16-001,6507-16-001,No (Single CSJ),1,,Washington,,,,168000
180,Master Contract,6508-40-001,6508-40-001,No (Single CSJ),1,,Tom Green,,,,373411
181,Master Contract,6494-48-001,6494-48-001,No (Single CSJ),1,,De Witt,,,,522000
182,Master Contract,6507-29-001,6507-29-001,No (Single CSJ),1,,Polk,,,,352650
183,Master Contract,0143-10-058,0143-10-058,No (Single CSJ),1,,Victoria,,,,6552127.5
184,Master Contract,6509-60-001,6509-60-001,No (Single CSJ),1,,Eastland,,,,475384
185,Master Contract,6500-36-001,6500-36-001,No (Single CSJ),1,,Waller,,,,218566.1
186,Master Contract,3632-01-002,3632-01-002,No (Single CSJ),1,,Starr,,,,60647815.45
187,Master Contract,6508-59-001,6508-59-001,No (Single CSJ),1,,Kimble,,,,428413.75
188,Master Contract,0187-05-068,0187-05-068,Yes (6 Sub-CSJs),6,,Fort Bend,,,,2028830.34
189,Master Contract,6504-32-001,6504-32-001,No (Single CSJ),1,,Collin,,,,112500
